iCAP 	 Lobe 	 Region 	 Percentile 	 mean z-score 	 voxels 
	 Parietal 	 Angular_R 	 53.59 	 2.70 	 224 
	 Parietal 	 Precuneus_R 	 44.21 	 2.83 	 313 
	 Parietal 	 Precuneus_L 	 38.06 	 2.71 	 314 
	 Parietal 	 Parietal_Inf_R 	 31.10 	 2.57 	 107 
	 Parietal 	 Parietal_Inf_L 	 28.69 	 2.83 	 169 
	 Occipital 	 Occipital_Mid_L 	 25.47 	 2.67 	 216 
	 Frontal 	 Frontal_Sup_R 	 25.03 	 2.38 	 182 
	 Frontal 	 Frontal_Mid_L 	 24.79 	 2.54 	 235 
	 Frontal 	 Frontal_Sup_Orb_Medial_L 	 20.90 	 2.08 	 37 
	 Frontal 	 Frontal_Mid_R 	 20.32 	 2.17 	 227 
	 Occipital 	 Calcarine_L 	 18.89 	 1.93 	 106 
	 Frontal 	 Frontal_Sup_Orb_R 	 18.88 	 2.16 	 44 
	 Frontal 	 Frontal_Mid_Orb_R 	 18.33 	 2.10 	 46 
	 Frontal 	 Frontal_Sup_Medial_R 	 18.05 	 2.18 	 74 
	 Frontal 	 Frontal_Sup_Orb_Medial_R 	 17.73 	 1.91 	 39 
	 Limbic 	 Cingulum_Mid_L 	 17.62 	 2.28 	 92 
	 Limbic 	 Cingulum_Mid_R 	 17.48 	 2.55 	 97 
	 Occipital 	 Occipital_Mid_R 	 15.90 	 2.54 	 83 
	 Occipital 	 Cuneus_L 	 15.32 	 2.26 	 59 
	 Frontal 	 Frontal_Sup_L 	 15.27 	 2.08 	 93 
	 Frontal 	 Frontal_Inf_Orb_R 	 14.96 	 1.93 	 63 
	 Occipital 	 Occipital_Sup_L 	 14.57 	 2.10 	 44 
	 Temporal 	 Temporal_Mid_L 	 13.38 	 2.09 	 163 
	 Occipital 	 Cuneus_R 	 12.72 	 2.10 	 50 
	 Frontal 	 Frontal_Inf_Orb_L 	 11.93 	 1.94 	 52 
	 Frontal 	 Rectus_R 	 11.52 	 1.90 	 22 
	 Occipital 	 Calcarine_R 	 11.49 	 2.07 	 51 
	 Frontal 	 Frontal_Mid_Orb_L 	 11.11 	 1.77 	 22 
	 Temporal 	 Temporal_Mid_R 	 10.25 	 2.08 	 121 

10	 Occipital 	 Calcarine_R 	 67.79 	 2.81 	 301 
	 Occipital 	 Lingual_R 	 67.45 	 2.52 	 371 
	 Occipital 	 Lingual_L 	 60.25 	 2.51 	 335 
	 Occipital 	 Occipital_Inf_R 	 60.21 	 2.30 	 171 
	 Occipital 	 Calcarine_L 	 54.55 	 2.60 	 306 
